id,subseccion,idea,citas,veredicto,pagina_traza,tipo_problema,accion,idea_real_fuente,evidencia_textual,refuerzo_pico,notas,estado_contexto,nota_contexto
DIS-DET-01,Deteccion molecular,El ARN viral en aguas residuales acompano la circulacion comunitaria aun con vigilancia clinica limitada,Ahmed_2020;Medema_2020,PARCIAL,Ahmed p.5,matiz_no_explicito,corregir,Ahmed confirma deteccion y estimacion coherente con clinica; NO dice 'vigilancia clinica limitada'. Medema sin PDF.,"""the model estimated a median range of 171 to 1,090 infected persons in the catchment, which is in reasonable agreement with clinical observations"" (ahmed-2020, p.5)","""Wastewater pathogen surveillance has become a critical tool for epidemic preparedness, enabling the monitoring of emerging SARS-CoV-2 variants in populations with low clinical testing rates."" (MejiaCalle_2024, p.10)",'aun con vigilancia clinica limitada' es extrapolacion; Medema SIN_FUENTE.,CONFIRMADO,"Ahmed muestra que la estimacion por WBE concuerda con la clinica (discusion, contexto de viabilidad de WBE); MejiaCalle aporta la parte de 'vigilancia clinica limitada' (low clinical testing rates). El conjunto respalda la idea."
DIS-DET-02,Deteccion molecular,Esquema multipatogeno en sitio centinela: ventaja con recursos limitados,Parkins_2023;Bubba_2023,OK,Parkins p.39-40; Bubba abstract,,mantener,,"""WWS for NPEV and other pathogens represents an inexpensive, flexible, anonymised, reliable, population-based tool for monitoring outbreaks and the (re)emergence of these virus types/strains"" (Bubba_2023/microorganisms-11-02496, abstract)","""WBS offers a cost-effective, real-time measure enabling an understanding of the local prevalence of individual infectious agents within these resource-constrained settings (where individual diagnostic testing may not be feasible for acutely ill patients...)"" (Parkins_2023, p.39)",OK.,CONFIRMADO,Parkins encuadra el WBS como medida costo-efectiva en entornos de recursos limitados donde el diagnostico individual no es viable; Bubba lo describe como herramienta barata y poblacional. Ambos respaldan el esquema multipatogeno con recursos limitados.
DIS-CQ-01,Cq y secuenciacion,Muestras con Cq tardios menos eficientes para secuenciacion en PTAR Quitumbe,MejiaCalle_2024,OK,p.45,,mantener,,"""only 36 samples could be sequenced, as the remaining 11 samples had very late CT values, which prevented successful sequencing"" (00331348-MejiaCalle, p.45)","""observed CT values were relatively late, likely due to viral RNA fragmentation in the samples"" (00331348-MejiaCalle, p.40)",Antecedente local.,CONFIRMADO,"La tesis local (PTAR Quitumbe, muestreo pasivo) atribuye la falla de secuenciacion a Cq tardios por ARN fragmentado. Respalda directamente la idea."
DIS-CQ-02,Cq y secuenciacion,Cargas bajas y ARN fragmentado limitan la recuperacion genomica,Parkins_2023;Child_2023,PARCIAL,Parkins p.25-26,matiz,corregir,'ARN fragmentado' NO explicito en Parkins; verificar en Child.,"""This suggests that IAV was both present at a very low concentration and highly fragmented in these samples, which likely explains the failure to generate amplicons"" (Child_2023, p.8)","""This suggests that IAV was both present at a very low concentration and highly fragmented in these samples, which likely explains the failure to generate amplicons"" (Child_2023, p.8)",Sostener 'ARN fragmentado' con fuente que lo diga.,CONFIRMADO,"Child provee la cita literal de 'ARN fragmentado' + baja carga => fallo de amplicones (antes pendiente). Parkins acompana la idea general de que la baja carga limita la recuperacion, pero la fragmentacion explicita es de Child."
DIS-CQ-03,Cq y secuenciacion,"Dimeros entre cebadores = causa principal del sesgo de cobertura, se acentua a baja carga",Itokawa_2020,OK,p.1-3,,mantener,,"""we will show that dimer formations between some primers are the major cause of coverage bias in the multiplex PCR"" (sars_cov/Itokawa, p.1)","""a gradual increase in the overall coverage bias was observed as a sample's viral load decreased"" (Itokawa_2020, p.2)",Exacto.,CONFIRMADO,Itokawa demuestra que los dimeros de cebadores son la causa principal del sesgo de cobertura en PCR multiplex ARTIC y que este se acentua al bajar la carga viral. Respalda la idea.
DIS-CQ-04,Cq y secuenciacion,El valor de Cq fija el umbral practico donde la secuenciacion deja de ser informativa,Ahmed_2020,PARCIAL,Crits p.3,atribucion_incorrecta,corregir,"El umbral (Cq<33) es de Crits_Christoph_2021, no de Ahmed.","""Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes (Fig. 1d)"" (crits-christoph-2021, p.3)","""Only samples with RT-qPCR CT values <33 (~25 genome copies/ml) yielded complete consensus genomes (Fig. 1d)"" (Crits_Christoph_2021, p.3)",Reatribuir a Crits_Christoph_2021.,CORREGIDO,"El umbral practico Cq<33 para obtener genoma completo es de Crits_Christoph_2021, NO de Ahmed_2020 como estaba citado. La idea es correcta pero debe reatribuirse a Crits_Christoph."
DIS-CQ-05,Cq y secuenciacion,"Dhaka: seleccion por Ct, cobertura 94.2-99.8% con Ct ORF1ab 28.8-32.1",Haque_2023,OK,p.1,,mantener,,"""ten samples with ORF1ab... cycle threshold (Ct) values ranging from 28.78 to 32.13 were subjected to whole genome sequencing using nanopore... with coverage ranging from 94.2 to 99.8%"" (s40246-023-00505-4/Haque, p.1)","""the recovery of > 94% genome coverage from wastewater indicates the efficiency of the study"" (Haque_2023, p.7)",Cifras exactas.,CONFIRMADO,"Haque (Dhaka, LMIC) seleccciono muestras por Ct 28.78-32.13 y obtuvo 94.2-99.8% de cobertura por Nanopore. Cifras y contexto respaldan la idea."
DIS-LIN-01,Linajes SARS,Clados 24A (JN.1/LZ.5/LU.2.1.1) y 24H (LF.7.1.3),Islam_2025,SIN_FUENTE,-,fuente_sin_pdf,reemplazar,Sin PDF; clados = Nextclade (propio) o via Bruno.,"SIN PDF en el repo (Islam_2025 FALTA). Los clados 24A (JN.1) / 24H (LF.7.1.3) son asignacion Nextclade (fuente primaria propia); Bruno solo documenta ""23I (JN.1), the latest dominant along 2024"" (bruno-2025, p.4)",sin refuerzo verificable en el repo,No verificable en Islam.,CITA_NO_HALLADA,No hay PDF de Islam_2025 para verificar. Ningun PDF del repo contiene los nombres de clado/sublinaje 24A(LZ.5/LU.2.1.1) ni 24H(LF.7.1.3); Bruno solo llega a JN.1 (23I) en 2024. La cita no puede confirmarse.
DIS-LIN-02,Linajes SARS,JN.1 domino a comienzos de 2025 y LP.8.1 ganaba frecuencia en las Americas,Islam_2025,SIN_FUENTE,-,fuente_sin_pdf,reemplazar,Sin PDF.,SIN PDF en el repo (Islam_2025 FALTA),"""sub variants lineages like 22F, 23A, and 23I. This last lineage 23I (JN.1)... dominance... along 2024"" (Bruno_2025, p.4)",No verificable.,CITA_NO_HALLADA,No hay PDF de Islam para verificar 'JN.1 dominó a comienzos de 2025' ni 'LP.8.1 ganaba frecuencia'. Bruno respalda solo la dominancia de JN.1 hasta 2024 (su serie termina el 31-dic-2024); LP.8.1 y el periodo 2025 no aparecen en ningun PDF del repo.
DIS-LIN-03,Linajes SARS,JN.1 en aguas de Quito reproduce el antecedente local (antes que en clinica),MejiaCalle_2024,OK,p.52/57,,mantener,,"""As observed globally, the JN.1 lineage was first detected in wastewater, preceding"" (00331348-MejiaCalle, p.52)","""the JN.1 lineage appeared during the infection peaks in Quito... appearing even before clinical identification"" (MejiaCalle_2024, p.10)",Confirmado.,CONFIRMADO,"La tesis local reporta que en Quito el linaje JN.1 se detecto primero en aguas, precediendo a las muestras clinicas. Respalda que las aguas de Quito reprodujeron el antecedente local antes que la clinica."
